--- ROUND 1 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,Animals,US Presidents,Vocabulary,Movies,The Solar System,Food & Cooking,,,,,
$200 CLUE,The fastest land animal on Earth.,He was the first President of the United States.,A word that means happy or joyful.,This 1994 film follows Simba on his journey to become king.,"The largest planet in our solar system, known for its Great Red Spot.",The process of cooking food in boiling water.,,,,,
$200 ANSWER,What is the cheetah?,Who is George Washington?,What is glad (or joyful/cheerful)?,What is The Lion King?,What is Jupiter?,What is boiling?,,,,,
$400 CLUE,This marine mammal is known for its echolocation.,"He issued the Emancipation Proclamation, freeing enslaved people.",A word that describes something that lasts forever.,This 2009 James Cameron film takes place on the moon Pandora.,"The planet closest to the Sun, with extreme temperature swings.",This cooking technique browns the outside of meat quickly over high heat.,,,,,
$400 ANSWER,What is the dolphin?,Who is Abraham Lincoln?,What is eternal (or infinite/permanent)?,What is Avatar?,What is Mercury?,What is searing?,,,,,
$600 CLUE,The only mammal capable of true flight.,He was President during the Cuban Missile Crisis.,A word meaning to look at something very carefully.,This 1980 Stanley Kubrick horror film is set in the Overlook Hotel.,This dwarf planet was reclassified from full planet status in 2006.,This spice comes from the dried stigmas of the Crocus flower.,,,,,
$600 ANSWER,What is the bat?,Who is John F. Kennedy?,What is scrutinize?,What is The Shining?,What is Pluto?,What is saffron?,,,,,
$800 CLUE,"This giant reptile, native to the Galápagos, can live over 150 years.",The only US President to serve two non-consecutive terms.,A word meaning extremely large or huge.,This 1972 Francis Ford Coppola film is considered one of the greatest ever made.,"Saturn's largest moon, which has a thick atmosphere and liquid methane lakes.",This technique preserves food by soaking it in a salt-water solution.,,,,,
$800 ANSWER,What is the Galápagos tortoise?,Who is Grover Cleveland?,What is colossal (or enormous/immense)?,What is The Godfather?,What is Titan?,What is brining?,,,,,
$1000 CLUE,This cephalopod has three hearts and blue blood.,He resigned from the presidency in 1974 amid the Watergate scandal.,A word meaning to officially take back or cancel a statement.,"This 1968 sci-fi film, directed by Stanley Kubrick, features HAL 9000.","This is the hottest planet in the solar system, despite not being closest to the Sun.",The Maillard reaction is responsible for this effect when cooking food.,,,,,
$1000 ANSWER,What is the octopus?,Who is Richard Nixon?,What is recant (or retract)?,What is 2001: A Space Odyssey?,What is Venus?,What is browning?,,,,,
,,,,,,,,,,,
--- ROUND 2 ---,,,,,,,,,,,
,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6,,,,,
CATEGORY,World Geography,Chemistry,Shakespeare,Famous Inventions,American Culture,Mythology,,,,,
$400 CLUE,The world's largest ocean by area.,This element is represented by the symbol Fe.,The Shakespeare play featuring the line 'To be or not to be.',He invented the practical incandescent light bulb in 1879.,"This holiday, celebrated on the 4th Thursday of November, is unique to the United States.",The Greek god of the sea.,,,,,
$400 ANSWER,What is the Pacific Ocean?,What is iron?,What is Hamlet?,Who is Thomas Edison?,What is Thanksgiving?,Who is Poseidon?,,,,,
$800 CLUE,"This country contains the most freshwater of any nation, stored mostly in its lakes.",The number of protons defines this property of an element.,The Shakespeare play in which Iago manipulates the title character.,She invented the first computer algorithm in the 1840s.,"This American genre of music, born in New Orleans, blends African and European traditions.",The Norse god of thunder.,,,,,
$800 ANSWER,What is Canada?,What is its atomic number?,What is Othello?,Who is Ada Lovelace?,What is jazz?,Who is Thor?,,,,,
$1200 CLUE,The only country that is also a continent.,The pH of a neutral substance.,The Shakespeare comedy that ends with multiple weddings in the Forest of Arden.,"The Wright Brothers achieved the first powered airplane flight in this year, at Kitty Hawk.",The American sport where players score touchdowns and field goals.,The Egyptian god of the afterlife who weighed the hearts of the dead.,,,,,
$1200 ANSWER,What is Australia?,What is 7?,What is As You Like It?,What is 1903?,What is American football?,Who is Anubis?,,,,,
$1600 CLUE,The deepest lake in the world by depth is located in Russia.,This is the most abundant gas in Earth's atmosphere.,The Shakespeare play featuring the witches who prophesize a Scottish general's rise and fall.,"This invention by Tim Berners-Lee in 1989 transformed global communication.",The name for the American tradition of watching the ball drop on December 31st in this New York City location.,"In Greek mythology, this hero completed twelve labors as penance.",,,,,
$1600 ANSWER,What is Lake Baikal?,What is nitrogen?,What is Macbeth?,What is the World Wide Web?,What is Times Square?,Who is Hercules (Heracles)?,,,,,
$2000 CLUE,"This narrow waterway, connecting the Atlantic and Pacific Oceans, was completed in 1914.",The process by which atoms of the same element can have different numbers of neutrons is called this.,"In this Shakespeare tragedy, the title character stabs himself after wrongly believing his wife Desdemona was unfaithful.","Alexander Fleming discovered this life-saving substance in 1928, by accident.",This massive annual American sporting event is watched by over 100 million people and features a halftime show.,"In Norse mythology, this is the name of the great ash tree that connects the nine worlds.",,,,,
$2000 ANSWER,What is the Panama Canal?,What is isotopes?,What is Othello?,What is penicillin?,What is the Super Bowl?,What is Yggdrasil?,,,,,
,,,,,,,,,,,
--- FINAL JEOPARDY ---,,,,,,,,,,,
FINAL CATEGORY,Science & Discovery,,,,,,,,,,,
FINAL CLUE,"Published in 1859, this Charles Darwin work introduced the theory of evolution by natural selection.",,,,,,,,,,,
FINAL ANSWER,"What is On the Origin of Species?",,,,,,,,,,,
